#: table_doi: 10.17182/hepdata.77892.v1/t1,,,,,,,,,,,,,,
#: name: Table 1,,,,,,,,,,,,,,
#: description: Multiplicities of positively charged kaons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{K^{+}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the kaon count, $DVM^{K^{+}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the kaon count, $\eta^{K^{+}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{K^{+}}$, as follows:,
,,,,,,,,,,,,,,
$M^{K^{+}}$ =  $M_{raw}^{K^{+}}$ * $\frac{\eta^{K^{+}}} {\eta^{DIS}}$ * $\frac{ DVM^{K^{+}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data1.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d--> $\mu^{+}$ $K^{+}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d-->$\mu^{+}$ $K^{+}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{K^{+}}$,$z^{K^{+}}$ LOW,$z^{K^{+}}$ HIGH,$M^{K^{+}}$,stat +,stat -,sys +,sys -
0.0765,0.06,0.1,0.25,0.2,0.3,5.782,0.374,0.35,0.4,0.216,0.0049,-0.0049,0.0127,-0.0127
0.0765,0.06,0.1,0.24,0.2,0.3,5.539,0.424,0.4,0.45,0.1637,0.0038,-0.0038,0.0096,-0.0096
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.474,0.45,0.5,0.1295,0.0033,-0.0033,0.0076,-0.0076
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.524,0.5,0.55,0.0991,0.0028,-0.0028,0.0058,-0.0058
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.574,0.55,0.6,0.0841,0.0026,-0.0026,0.0049,-0.0049
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.624,0.6,0.65,0.06,0.0022,-0.0022,0.0035,-0.0035
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.674,0.65,0.7,0.0511,0.002,-0.002,0.003,-0.003
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.724,0.7,0.75,0.0351,0.0017,-0.0017,0.0021,-0.0021
0.0765,0.06,0.1,0.24,0.2,0.3,5.47,0.795,0.75,0.85,0.0262,0.0011,-0.0011,0.0017,-0.0017
0.0764,0.06,0.1,0.43,0.3,0.5,9.875,0.224,0.2,0.25,0.4478,0.0115,-0.0115,0.0291,-0.0291
0.0765,0.06,0.1,0.38,0.3,0.5,8.774,0.274,0.25,0.3,0.3551,0.0068,-0.0068,0.0224,-0.0224
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.324,0.3,0.35,0.2843,0.0059,-0.0059,0.0178,-0.0178
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.374,0.35,0.4,0.2198,0.0051,-0.0051,0.0138,-0.0138
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.424,0.4,0.45,0.1653,0.0044,-0.0044,0.0104,-0.0104
0.0765,0.06,0.1,0.38,0.3,0.5,8.617,0.474,0.45,0.5,0.1371,0.0042,-0.0042,0.0086,-0.0086
0.0765,0.06,0.1,0.37,0.3,0.5,8.329,0.524,0.5,0.55,0.1025,0.0039,-0.0039,0.0065,-0.0065
0.0765,0.06,0.1,0.35,0.3,0.5,8.008,0.574,0.55,0.6,0.0855,0.0038,-0.0038,0.006,-0.006
0.0765,0.06,0.1,0.34,0.3,0.5,7.715,0.624,0.6,0.65,0.0641,0.0037,-0.0037,0.0053,-0.0053
0.0765,0.06,0.1,0.33,0.3,0.5,7.442,0.674,0.65,0.7,0.052,0.0041,-0.0041,0.0042,-0.0042
0.0765,0.06,0.1,0.32,0.3,0.5,7.18,0.725,0.7,0.75,0.0389,0.0041,-0.0041,0.0047,-0.0047
0.0764,0.06,0.1,0.31,0.3,0.5,6.597,0.796,0.75,0.85,0.0325,0.0093,-0.0093,0.0075,-0.0075
0.0765,0.06,0.1,0.59,0.5,0.7,13.359,0.224,0.2,0.25,0.4554,0.018,-0.018,0.0324,-0.0324
0.0765,0.06,0.1,0.59,0.5,0.7,13.359,0.274,0.25,0.3,0.3636,0.0164,-0.0164,0.0259,-0.0259
0.0765,0.06,0.1,0.59,0.5,0.7,13.322,0.324,0.3,0.35,0.2819,0.015,-0.015,0.02,-0.02
0.0765,0.06,0.1,0.56,0.5,0.7,12.691,0.374,0.35,0.4,0.198,0.014,-0.014,0.0139,-0.0139
0.0765,0.06,0.1,0.53,0.5,0.7,11.965,0.424,0.4,0.45,0.1535,0.017,-0.017,0.0136,-0.0136
0.1176,0.1,0.14,0.14,0.1,0.15,5.073,0.574,0.55,0.6,0.0647,0.0067,-0.0067,0.0035,-0.0035
0.1176,0.1,0.14,0.14,0.1,0.15,4.834,0.624,0.6,0.65,0.0582,0.0046,-0.0046,0.0031,-0.0031
0.1176,0.1,0.14,0.13,0.1,0.15,4.633,0.674,0.65,0.7,0.0472,0.0035,-0.0035,0.0025,-0.0025
0.1176,0.1,0.14,0.13,0.1,0.15,4.456,0.724,0.7,0.75,0.0374,0.0027,-0.0027,0.002,-0.002
0.1176,0.1,0.14,0.12,0.1,0.15,4.321,0.795,0.75,0.85,0.0262,0.0015,-0.0015,0.0014,-0.0014
0.1176,0.1,0.14,0.19,0.15,0.2,6.893,0.424,0.4,0.45,0.1419,0.0125,-0.0125,0.0077,-0.0077
0.1176,0.1,0.14,0.18,0.15,0.2,6.443,0.474,0.45,0.5,0.1321,0.0072,-0.0072,0.0072,-0.0072
0.1176,0.1,0.14,0.17,0.15,0.2,6.124,0.524,0.5,0.55,0.0985,0.0047,-0.0047,0.0053,-0.0053
0.1176,0.1,0.14,0.17,0.15,0.2,6.049,0.574,0.55,0.6,0.0808,0.0039,-0.0039,0.0044,-0.0044
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.624,0.6,0.65,0.0594,0.0034,-0.0034,0.0032,-0.0032
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.674,0.65,0.7,0.0507,0.0032,-0.0032,0.0027,-0.0027
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.724,0.7,0.75,0.0339,0.0024,-0.0024,0.0018,-0.0018
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.794,0.75,0.85,0.025,0.0015,-0.0015,0.0014,-0.0014
0.1176,0.1,0.14,0.27,0.2,0.3,9.656,0.324,0.3,0.35,0.2745,0.0121,-0.0121,0.0157,-0.0157
0.1176,0.1,0.14,0.25,0.2,0.3,8.884,0.374,0.35,0.4,0.2079,0.0071,-0.0071,0.0117,-0.0117
0.1176,0.1,0.14,0.24,0.2,0.3,8.51,0.424,0.4,0.45,0.1731,0.0058,-0.0058,0.0097,-0.0097
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.474,0.45,0.5,0.1367,0.005,-0.005,0.0076,-0.0076
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.524,0.5,0.55,0.0964,0.0041,-0.0041,0.0054,-0.0054
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.574,0.55,0.6,0.0807,0.0037,-0.0037,0.0045,-0.0045
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.624,0.6,0.65,0.0626,0.0033,-0.0033,0.0035,-0.0035
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.674,0.65,0.7,0.05,0.003,-0.003,0.0028,-0.0028
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.724,0.7,0.75,0.0368,0.0026,-0.0026,0.0021,-0.0021
0.1176,0.1,0.14,0.24,0.2,0.3,8.404,0.794,0.75,0.85,0.0276,0.0016,-0.0016,0.0018,-0.0018
0.1175,0.1,0.14,0.43,0.3,0.5,15.184,0.224,0.2,0.25,0.4008,0.0202,-0.0202,0.0248,-0.0248
0.1175,0.1,0.14,0.38,0.3,0.5,13.489,0.274,0.25,0.3,0.3773,0.0129,-0.0129,0.0226,-0.0226
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.324,0.3,0.35,0.2858,0.0107,-0.0107,0.017,-0.017
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.374,0.35,0.4,0.2135,0.0091,-0.0091,0.0127,-0.0127
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.424,0.4,0.45,0.1746,0.0084,-0.0084,0.0104,-0.0104
0.1175,0.1,0.14,0.38,0.3,0.5,13.245,0.474,0.45,0.5,0.1321,0.0074,-0.0074,0.0079,-0.0079
0.1175,0.1,0.14,0.37,0.3,0.5,12.798,0.524,0.5,0.55,0.1069,0.0071,-0.0071,0.0064,-0.0064
0.1175,0.1,0.14,0.35,0.3,0.5,12.305,0.574,0.55,0.6,0.0906,0.007,-0.007,0.0057,-0.0057
0.1175,0.1,0.14,0.34,0.3,0.5,11.855,0.624,0.6,0.65,0.0637,0.0066,-0.0066,0.0042,-0.0042
0.1175,0.1,0.14,0.33,0.3,0.5,11.435,0.674,0.65,0.7,0.0394,0.006,-0.006,0.0031,-0.0031
0.1175,0.1,0.14,0.32,0.3,0.5,11.036,0.724,0.7,0.75,0.0422,0.0081,-0.0081,0.005,-0.005
0.1176,0.1,0.14,0.59,0.5,0.7,20.541,0.223,0.2,0.25,0.4685,0.0358,-0.0358,0.0311,-0.0311
0.1176,0.1,0.14,0.59,0.5,0.7,20.541,0.274,0.25,0.3,0.4069,0.0357,-0.0357,0.027,-0.027
0.1176,0.1,0.14,0.59,0.5,0.7,20.484,0.324,0.3,0.35,0.2625,0.0273,-0.0273,0.0186,-0.0186
0.1176,0.1,0.14,0.56,0.5,0.7,19.513,0.374,0.35,0.4,0.2006,0.0286,-0.0286,0.0172,-0.0172
0.1175,0.1,0.14,0.53,0.5,0.7,18.389,0.423,0.4,0.45,0.1378,0.0284,-0.0284,0.0134,-0.0134
0.1581,0.14,0.18,0.14,0.1,0.15,6.822,0.574,0.55,0.6,0.0706,0.0103,-0.0103,0.0037,-0.0037
0.1581,0.14,0.18,0.14,0.1,0.15,6.499,0.624,0.6,0.65,0.0539,0.006,-0.006,0.0028,-0.0028
0.1581,0.14,0.18,0.13,0.1,0.15,6.227,0.675,0.65,0.7,0.0543,0.0054,-0.0054,0.0028,-0.0028
0.1581,0.14,0.18,0.13,0.1,0.15,5.989,0.724,0.7,0.75,0.0373,0.0039,-0.0039,0.0019,-0.0019
0.1581,0.14,0.18,0.12,0.1,0.15,5.811,0.794,0.75,0.85,0.0243,0.0021,-0.0021,0.0013,-0.0013
0.1581,0.14,0.18,0.19,0.15,0.2,9.266,0.424,0.4,0.45,0.1946,0.0226,-0.0226,0.0103,-0.0103
0.1581,0.14,0.18,0.18,0.15,0.2,8.662,0.474,0.45,0.5,0.1284,0.0098,-0.0098,0.0068,-0.0068
0.1581,0.14,0.18,0.17,0.15,0.2,8.231,0.525,0.5,0.55,0.0957,0.0066,-0.0066,0.005,-0.005
0.1581,0.14,0.18,0.17,0.15,0.2,8.13,0.574,0.55,0.6,0.0724,0.0053,-0.0053,0.0038,-0.0038
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.624,0.6,0.65,0.0607,0.005,-0.005,0.0032,-0.0032
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.674,0.65,0.7,0.0486,0.0044,-0.0044,0.0026,-0.0026
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.724,0.7,0.75,0.0369,0.0036,-0.0036,0.0019,-0.0019
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.794,0.75,0.85,0.024,0.0021,-0.0021,0.0013,-0.0013
0.1581,0.14,0.18,0.27,0.2,0.3,12.983,0.324,0.3,0.35,0.2439,0.0172,-0.0172,0.0134,-0.0134
0.1581,0.14,0.18,0.25,0.2,0.3,11.943,0.374,0.35,0.4,0.2251,0.0112,-0.0112,0.0122,-0.0122
0.1581,0.14,0.18,0.24,0.2,0.3,11.438,0.424,0.4,0.45,0.1689,0.0083,-0.0083,0.0091,-0.0091
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.474,0.45,0.5,0.142,0.0078,-0.0078,0.0077,-0.0077
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.524,0.5,0.55,0.1046,0.0065,-0.0065,0.0057,-0.0057
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.574,0.55,0.6,0.0843,0.0057,-0.0057,0.0046,-0.0046
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.625,0.6,0.65,0.0718,0.0051,-0.0051,0.0039,-0.0039
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.674,0.65,0.7,0.0499,0.0043,-0.0043,0.0027,-0.0027
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.724,0.7,0.75,0.0405,0.004,-0.004,0.0023,-0.0023
0.1581,0.14,0.18,0.24,0.2,0.3,11.296,0.794,0.75,0.85,0.0277,0.0025,-0.0025,0.0015,-0.0015
0.1581,0.14,0.18,0.43,0.3,0.5,20.413,0.224,0.2,0.25,0.442,0.034,-0.034,0.026,-0.026
0.1581,0.14,0.18,0.38,0.3,0.5,18.133,0.274,0.25,0.3,0.3696,0.0201,-0.0201,0.0212,-0.0212
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.324,0.3,0.35,0.292,0.017,-0.017,0.0168,-0.0168
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.374,0.35,0.4,0.2231,0.0149,-0.0149,0.0127,-0.0127
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.424,0.4,0.45,0.1754,0.0133,-0.0133,0.0101,-0.0101
0.1581,0.14,0.18,0.38,0.3,0.5,17.806,0.473,0.45,0.5,0.1247,0.0111,-0.0111,0.0072,-0.0072
0.1581,0.14,0.18,0.37,0.3,0.5,17.215,0.524,0.5,0.55,0.1122,0.0117,-0.0117,0.0065,-0.0065
0.1581,0.14,0.18,0.35,0.3,0.5,16.553,0.574,0.55,0.6,0.0611,0.0092,-0.0092,0.0041,-0.0041
0.1581,0.14,0.18,0.34,0.3,0.5,15.948,0.624,0.6,0.65,0.0639,0.0111,-0.0111,0.0049,-0.0049
0.1581,0.14,0.18,0.33,0.3,0.5,15.383,0.674,0.65,0.7,0.0718,0.0139,-0.0139,0.0051,-0.0051
0.1581,0.14,0.18,0.32,0.3,0.5,14.846,0.725,0.7,0.75,0.0584,0.0155,-0.0155,0.0041,-0.0041
0.2505,0.18,0.4,0.19,0.15,0.2,14.681,0.425,0.4,0.45,0.1583,0.0194,-0.0194,0.0081,-0.0081
0.2505,0.18,0.4,0.18,0.15,0.2,13.721,0.475,0.45,0.5,0.1324,0.0107,-0.0107,0.0068,-0.0068
0.2504,0.18,0.4,0.17,0.15,0.2,13.034,0.524,0.5,0.55,0.1235,0.0085,-0.0085,0.0063,-0.0063
0.2504,0.18,0.4,0.17,0.15,0.2,12.873,0.574,0.55,0.6,0.0885,0.0067,-0.0067,0.0045,-0.0045
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.624,0.6,0.65,0.0558,0.005,-0.005,0.0028,-0.0028
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.675,0.65,0.7,0.0557,0.0052,-0.0052,0.0029,-0.0029
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.724,0.7,0.75,0.0372,0.004,-0.004,0.0019,-0.0019
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.793,0.75,0.85,0.0225,0.0022,-0.0022,0.0012,-0.0012
0.2501,0.18,0.4,0.27,0.2,0.3,20.544,0.324,0.3,0.35,0.2726,0.0197,-0.0197,0.0143,-0.0143
0.2502,0.18,0.4,0.25,0.2,0.3,18.9,0.374,0.35,0.4,0.213,0.0119,-0.0119,0.0111,-0.0111
0.2503,0.18,0.4,0.24,0.2,0.3,18.106,0.424,0.4,0.45,0.185,0.0097,-0.0097,0.0096,-0.0096
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.474,0.45,0.5,0.127,0.0077,-0.0077,0.0066,-0.0066
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.524,0.5,0.55,0.096,0.0066,-0.0066,0.005,-0.005
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.574,0.55,0.6,0.084,0.006,-0.006,0.0044,-0.0044
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.624,0.6,0.65,0.0696,0.0056,-0.0056,0.0036,-0.0036
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.674,0.65,0.7,0.0496,0.0046,-0.0046,0.0026,-0.0026
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.724,0.7,0.75,0.0418,0.0042,-0.0042,0.0022,-0.0022
0.2503,0.18,0.4,0.24,0.2,0.3,17.882,0.793,0.75,0.85,0.0258,0.0025,-0.0025,0.0014,-0.0014
0.2497,0.18,0.4,0.43,0.3,0.5,32.252,0.224,0.2,0.25,0.4316,0.0365,-0.0365,0.0239,-0.0239
0.25,0.18,0.4,0.38,0.3,0.5,28.657,0.274,0.25,0.3,0.3709,0.021,-0.021,0.02,-0.02
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.324,0.3,0.35,0.2947,0.0171,-0.0171,0.0159,-0.0159
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.374,0.35,0.4,0.2396,0.016,-0.016,0.0129,-0.0129
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.424,0.4,0.45,0.2023,0.0147,-0.0147,0.0109,-0.0109
0.25,0.18,0.4,0.38,0.3,0.5,28.147,0.474,0.45,0.5,0.1273,0.0113,-0.0113,0.0069,-0.0069
0.25,0.18,0.4,0.37,0.3,0.5,27.21,0.524,0.5,0.55,0.0984,0.0104,-0.0104,0.0054,-0.0054
0.2501,0.18,0.4,0.35,0.3,0.5,26.174,0.575,0.55,0.6,0.0808,0.0104,-0.0104,0.0052,-0.0052
0.2501,0.18,0.4,0.34,0.3,0.5,25.229,0.624,0.6,0.65,0.0561,0.01,-0.01,0.004,-0.004
